pop,upop
2824400.00,46.24
48353.00,55.35
2185000.00,77.99
50536350.00,59.86
1651915.00,34.50
94943000.00,64.21
891451.00,52.41
10129861.00,44.75
8361442.00,7.57
42261.00,16.92
11665593.00,41.16
25765673.00,28.53
294639.00,75.79
2255900.00,34.51
2169287.00,8.02
2152681.00,53.66
1864605.00,44.04
866253.00,3.96
1144896.00,19.29
1483856.00,28.20
16894.00,20.32
2823550.00,40.44
316845.00,69.93
175135.00,95.33
1507653.00,35.21
5223621.00,10.97
3700032.00,4.49
8429369.00,27.24
92327.00,11.23
5322267.00,11.36
325250.00,90.07
15052.00,36.96
883223.00,7.44
680757.00,33.64
39394125.00,51.59
45956.00,22.55
2605000.00,24.22
22812.00,100.00
982180.00,37.68
480359.00,19.50
12713043.00,29.85
7643290.00,4.95
21961594.00,19.57
617282.00,18.33
10215153.00,3.57
11638712.00,60.02
81200.00,38.78
2419700.00,76.53
1830400.00,40.03
3493636.00,5.90
46144154.00,15.63
10340.00,52.74
3609800.00,51.00
564895.00,17.48
45988447.00,22.50
9901.00,57.11
1167041.00,41.85
2001048.00,4.02
1953331.00,35.67
10350239.00,47.40
27164618.00,30.56
29964000.00,48.53
8929316.00,35.34
2399722.00,45.93
51355.00,85.69
18555250.00,34.89
121236000.00,54.63
2996091.00,2.65
112121.00,18.99
15787.00,50.00
64549.00,16.81
4218879.00,32.37
3265558.00,23.65
42889.00,28.72
2210169.00,17.90
1702400.00,100.00
4191667.00,33.95
1594131.00,29.11
121403.00,6.04
2814683.00,17.84
17949962.00,46.79
3011112.00,8.74
30739250.00,57.30
10168000.00,16.59
51195.00,28.27
90913.00,21.70
82144.00,26.39
7749884.00,11.23
298190.00,47.30
357522.00,4.34
7519998.00,73.30
5434294.00,51.67
4742596.00,37.40
2140413.00,33.56
10373380.00,5.39
28224208.00,19.78
508311.00,10.24
1597528.00,10.94
63740.00,17.93
865356.00,16.71
4277371.00,37.95
28229291.00,32.06
1649914.00,46.56
5760.00,48.02
6242.00,16.44
7006629.00,4.62
43203635.00,47.54
100985.00,74.38
52800000.00,78.37
183691000.00,70.38
2571691.00,80.46
9044671.00,34.24
65708.00,10.58
8461684.00,62.88
35428000.00,15.03
34100.00,57.86
5251663.00,9.46
3142848.00,18.95
3876638.00,12.82
97691498.00,32.78
4353408.00,32.06
93014890.00,45.87
1059972418.00,23.65
907395358.00,17.86
270324828.00,63.07
683114331.00,56.45
161168870.00,39.45
416670637.00,62.13
126006115.00,18.91
170332701.00,12.94
933025406.00,63.81
192729589.00,57.84
740295817.00,65.28
233183206.00,50.87
188416186.00,46.57
252585904.00,10.13
2195966846.00,22.22
164180179.00,12.06
986301567.00,20.31
111418951.00,36.48
103183668.00,35.32
2031786667.00,23.04
205198600.00,70.74
809855392.00,63.46
6853517.00,15.26
919276.00,22.91
12126201.00,21.87
596701125.00,17.05
239403621.00,15.26
239101639.00,15.25
1045485100.00,25.61
3128992252.00,34.52
9343772.00,8.81
1711319.00,31.02
11690152.00,33.21
21118.00,67.07
15376.00,63.46
5465905.00,11.20
56311.00,38.43
21287682.00,74.77
2002170.00,53.02
56226.00,50.75
10742000.00,82.34
7129864.00,64.86
4167558.00,52.06
121083.00,61.19
173107.00,82.36
51030604.00,5.50
232584.00,36.92
8351928.00,34.66
9220578.00,92.68
97389.00,53.41
2503232.00,10.47
46600.00,100.00
234703.00,4.00
3838096.00,37.36
3341809.00,20.44
549990.00,3.13
77007549.00,48.10
89603.00,47.07
8012946.00,40.49
4960325.00,4.89
2894510.00,2.15
210866.00,17.22
6026696.00,10.33
5593768.00,15.06
18614000.00,70.49
8142.00,100.00
1556656.00,21.42
3122357.00,7.24
111463.00,38.17
8054166.00,69.44
665770000.00,17.23
17500166.00,47.63
194960.00,14.19
16041247.00,22.75
1067611.00,33.05
1432583.00,34.40
3740503.00,20.21
4202104.00,32.00
7450404.00,58.78
128414.00,75.49
577691.00,36.67
9624660.00,60.56
4647727.00,75.09
94200.00,52.62
61984.00,37.98
3521276.00,32.09
4812892.00,35.06
28560741.00,38.62
2927861.00,38.61
257940.00,26.23
1476321.00,10.38
1241623.00,59.07
23221331.00,6.87
35153.00,22.96
421576.00,30.82
4491443.00,57.16
48119649.00,63.49
83654.00,44.16
509806.00,19.59
383525.00,12.54
3760300.00,44.05
74025784.00,71.76
7085463.00,24.35
8448233.00,57.34
35000.00,61.41
92424.00,30.71
69607.00,52.31
4356579.00,32.42
3690960.00,11.42
629973.00,13.90
600559.00,29.09
4022596.00,16.37
2139208.00,23.90
3305200.00,85.58
10061734.00,56.76
182378.00,81.30
468054145.00,18.22
92558006.00,15.06
23071426.00,35.05
7674220.00,45.98
2836050.00,46.86
48580.00,55.59
2293000.00,78.75
50879450.00,60.36
1678467.00,35.24
95832000.00,65.14
943090.00,53.22
10532062.00,45.30
8628973.00,7.77
43312.00,17.57
11871720.00,42.14
26513030.00,29.46
335161.00,76.66
2333400.00,34.84
2219964.00,8.10
2181586.00,54.46
1925276.00,45.75
881910.00,4.46
1170267.00,19.97
1536196.00,29.09
17298.00,20.10
2863350.00,41.44
320750.00,70.44
181025.00,95.56
1527105.00,36.47
5352674.00,11.31
3784444.00,4.59
8710678.00,27.90
94909.00,11.29
5381369.00,11.66
323900.00,90.01
15545.00,38.36
909172.00,8.03
700349.00,34.10
40649590.00,52.43
47387.00,22.80
2664000.00,25.03
23042.00,100.00
1011328.00,39.73
486092.00,20.24
13100843.00,30.35
7799396.00,5.14
22446690.00,19.91
632658.00,18.75
10377061.00,3.61
11805689.00,60.20
83400.00,40.22
2482000.00,77.13
1886560.00,40.48
3596613.00,6.00
47117859.00,15.86
10541.00,54.26
3638918.00,52.65
578825.00,18.61
47122931.00,22.75
10150.00,57.41
1202372.00,42.49
2037165.00,4.35
2005337.00,35.77
10650672.00,48.51
28081234.00,30.82
30308500.00,48.93
8993985.00,35.72
2450322.00,47.33
56187.00,86.10
18676550.00,35.59
122591000.00,55.52
3050596.00,2.71
115786.00,19.06
16197.00,51.10
64429.00,17.97
4362863.00,33.52
3356421.00,24.30
44042.00,29.79
2239581.00,18.47
1750200.00,100.00
4238188.00,34.71
1603649.00,29.93
125068.00,6.32
2874944.00,18.37
18459442.00,46.91
3069990.00,8.73
31023366.00,58.31
10443000.00,16.75
50966.00,28.90
92086.00,21.93
83206.00,26.85
7981797.00,11.74
306330.00,47.34
365719.00,4.80
7561588.00,74.27
5573815.00,52.31
4897428.00,38.04
2223956.00,33.96
10683888.00,5.55
29081037.00,19.89
517446.00,10.51
1612758.00,11.84
66255.00,18.31
880019.00,16.09
4350811.00,38.39
28909985.00,32.60
1708711.00,46.70
5762.00,48.36
6391.00,17.01
7240155.00,4.83
43749469.00,48.29
112240.00,75.25
53250000.00,78.24
186538000.00,70.76
2603887.00,80.68
9319510.00,34.50
67806.00,10.77
8790590.00,63.93
36123000.00,15.37
36300.00,59.24
5339285.00,9.83
3240664.00,19.79
4006262.00,13.08
100438281.00,33.56
4435830.00,32.31
93845749.00,46.53
1085447747.00,24.12
930292410.00,18.34
272876446.00,63.63
691101825.00,57.01
164093090.00,40.15
420393292.00,62.62
129005734.00,19.45
174484508.00,13.32
945017907.00,64.39
195817810.00,58.70
749200097.00,65.79
239771182.00,51.67
194035506.00,47.44
258670231.00,10.41
2248870171.00,22.67
167835124.00,12.35
1008923908.00,20.58
114525072.00,37.26
105966779.00,36.05
2081035047.00,23.50
208253700.00,71.16
820737024.00,63.97
6988545.00,15.81
949878.00,23.36
